n,instance,tolerance,bks,runs,expected_runs,final_rpd_pct,irpd_pct,ar_pct
200,200.10.2,0.5,1461.9667427714203,10,3,-0.4538361226189542,1.879009894032775,36.10619469026549
200,200.10.2,1,1461.9667427714203,10,3,-0.5661465069516434,1.8062820942130757,42.93286219081272
200,200.10.2,2,1461.9667427714203,10,3,-0.5039320148423094,1.8419673175641411,50.88028169014085
200,200.40.1,0.5,9462.397190153024,10,3,-0.5014080304145822,3.100831742480472,47.89915966386555
200,200.40.1,1,9462.397190153024,10,3,-0.5491227702976101,3.0725943693259836,59.49367088607595
200,200.40.1,2,9462.397190153024,10,3,-0.4470116946889959,3.147401148441569,69.4560669456067
500,500.10.2,0.5,1766.7385189018235,10,3,-1.0237278718481049,0.7710666109045163,37.157757496740544
500,500.10.2,1,1766.7385189018235,10,3,-1.1097441617953585,0.693743434591777,46.11464968152866
500,500.10.2,2,1766.7385189018235,10,3,-1.1174052434196586,0.7627160478532644,58.82352941176471
500,500.40.1,0.5,14142.08110414259,10,3,-0.257802805528075,5.000673907804743,47.008547008547005
500,500.40.1,1,14142.08110414259,10,3,-0.33169111900465154,5.026511133165905,54.756871035940804
500,500.40.1,2,14142.08110414259,10,3,-0.2546973403997184,5.028264781608906,69.49152542372882
