n,instance,tolerance,run,final_cost,final_rpd_pct,pull_offer_count,pull_accept_count,ar_pct
200,200.10.2,0.5,1,1467.1761958308175,0.356331844424981,60,19,31.666666666666664
200,200.10.2,0.5,2,1457.8587917179518,-0.2809879960525717,59,28,47.45762711864407
200,200.10.2,0.5,3,1441.6999526124157,-1.3862688914923775,53,15,28.30188679245283
200,200.10.2,0.5,4,1457.5062307083242,-0.30510352476557534,57,17,29.82456140350877
200,200.10.2,0.5,5,1463.8990604779563,0.1321724803994456,57,20,35.08771929824561
200,200.10.2,0.5,6,1465.2808834508337,0.22669056569172458,56,22,39.285714285714285
200,200.10.2,0.5,7,1441.6999526124157,-1.3862688914923775,53,24,45.28301886792453
200,200.10.2,0.5,8,1457.140090691464,-0.33014787127144835,59,17,28.8135593220339
200,200.10.2,0.5,9,1454.1476806725373,-0.5348317352322658,57,17,29.82456140350877
200,200.10.2,0.5,10,1446.9092571457625,-1.0299472063990767,54,25,46.2962962962963
200,200.10.2,1,1,1441.6999526124162,-1.3862688914923462,57,23,40.35087719298245
200,200.10.2,1,2,1457.8587917179518,-0.2809879960525717,59,28,47.45762711864407
200,200.10.2,1,3,1441.6999526124162,-1.3862688914923462,53,19,35.84905660377358
200,200.10.2,1,4,1457.5062307083242,-0.30510352476557534,54,23,42.592592592592595
200,200.10.2,1,5,1462.8673717727847,0.0616039322246925,57,21,36.84210526315789
200,200.10.2,1,6,1465.7466578669541,0.2585500056156096,56,28,50.0
200,200.10.2,1,7,1452.96003456815,-0.6160679268391928,58,27,46.55172413793103
200,200.10.2,1,8,1447.4962935403507,-0.9897933248220284,58,24,41.37931034482759
200,200.10.2,1,9,1452.0527980811755,-0.6781238177450672,58,26,44.827586206896555
200,200.10.2,1,10,1457.0106077637283,-0.339004634147608,56,24,42.857142857142854
200,200.10.2,2,1,1441.6999526124162,-1.3862688914923462,60,37,61.66666666666667
200,200.10.2,2,2,1457.8587917179518,-0.2809879960525717,59,28,47.45762711864407
200,200.10.2,2,3,1441.6999526124157,-1.3862688914923775,53,22,41.509433962264154
200,200.10.2,2,4,1457.5062307083242,-0.30510352476557534,57,19,33.33333333333333
200,200.10.2,2,5,1465.2835140506677,0.22687050137405107,58,25,43.103448275862064
200,200.10.2,2,6,1465.7466578669541,0.2585500056156096,57,37,64.91228070175438
200,200.10.2,2,7,1452.96003456815,-0.6160679268391928,57,30,52.63157894736842
200,200.10.2,2,8,1461.654161086594,-0.021380902566475134,59,29,49.152542372881356
200,200.10.2,2,9,1447.4962935403507,-0.9897933248220284,55,30,54.54545454545454
200,200.10.2,2,10,1454.0886543186534,-0.5388691973821874,53,32,60.37735849056604
200,200.40.1,0.5,1,9398.756272739334,-0.6725665403257138,51,20,39.21568627450981
200,200.40.1,0.5,2,9411.31750116563,-0.5398176377604426,51,15,29.411764705882355
200,200.40.1,0.5,3,9418.421516033914,-0.4647413677040886,49,36,73.46938775510205
200,200.40.1,0.5,4,9430.406501388616,-0.3380822863544474,46,28,60.86956521739131
200,200.40.1,0.5,5,9396.673659460108,-0.6945759026191666,47,22,46.808510638297875
200,200.40.1,0.5,6,9463.185664626635,0.00833271376973746,47,24,51.06382978723404
200,200.40.1,0.5,7,9406.47697564754,-0.5909730207021657,45,22,48.888888888888886
200,200.40.1,0.5,8,9447.452262146417,-0.15794018900580184,45,21,46.666666666666664
200,200.40.1,0.5,9,9343.547767559769,-1.2560181125871068,47,20,42.5531914893617
200,200.40.1,0.5,10,9433.281586950769,-0.3076979608566251,48,20,41.66666666666667
200,200.40.1,1,1,9398.756272739334,-0.6725665403257138,51,30,58.82352941176471
200,200.40.1,1,2,9411.31750116563,-0.5398176377604426,51,26,50.98039215686274
200,200.40.1,1,3,9441.352617867387,-0.2224021235077353,50,31,62.0
