instance,customers,run,method,checkpoint,q,BestCost,BKS
6.10.1,6,2,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,3,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,4,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,ims,0,0/8,1916.6722734186055,1078.7476708790684
6.10.1,6,5,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,ims,0,0/8,1916.6722734186055,1078.7476708790684
6.10.1,6,9,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,ims,2,2/8,1078.7476708790684,1078.7476708790684
