pool_factor,elite_pool_size,elite_pool_rpd_pct,elite_pool_diversity
0.02,2.8,-0.5259714428341641,0.2893555555555556
0.03,3,-0.16292324598723593,0.41555555555555557
0.04,4,-0.13487662912344073,0.4668777777777777
