set,elite_pool_size,elite_pool_rpd_pct,elite_pool_diversity
bo1,2.5,0.1853422641814639,0.5282636375690632
bo2,3.5,0.3245507173769336,0.5207885269758664
bo3,4,0.43707482418565624,0.5243231030780644
bo4,4.5,0.5436445323362756,0.5197815996343166
