n,instance,pull_strategy,run,working_time,rpd_pct,etb_pct
200,200.10.2,random,1,1477.078618037897,1.0336675126979633,55.21007620274914
200,200.10.2,random,2,1441.9617780284523,-1.368359768912733,94.79346314432989
200,200.10.2,random,3,1443.2848845719598,-1.2778579466209816,99.34983067010309
200,200.10.2,topk,1,1472.8284199835548,0.7429496782905096,67.96954776632302
200,200.10.2,topk,2,1457.5062307083242,-0.30510352476557534,96.09482620274915
200,200.10.2,topk,3,1441.6999526124157,-1.3862688914923775,46.87618505154639
200,200.10.2,rank,1,1452.96003456815,-0.6160679268391928,95.18390807560138
200,200.10.2,rank,2,1452.1661514769394,-0.6703703311268305,66.14655214776633
200,200.10.2,rank,3,1460.4257957873824,-0.10540232817586068,93.8810795532646
200,200.10.2,pullcount,1,1484.7909183531506,1.5611966342314303,52.344491580756014
200,200.10.2,pullcount,2,1444.2804667953624,-1.209759118222512,81.2514293814433
200,200.10.2,pullcount,3,1457.5062307083242,-0.30510352476557534,80.33959759450171
200,200.40.1,random,1,9439.41354791922,-0.2428944988456268,66.01756383161512
200,200.40.1,random,2,9446.646605917522,-0.1664544820829642,73.04813402061856
200,200.40.1,random,3,9449.53112387671,-0.13597047363117526,95.57431125429554
200,200.40.1,topk,1,9404.016231890395,-0.6169785212924986,34.376571477663234
200,200.40.1,topk,2,9449.399245964161,-0.13736417873463283,80.34018367697594
200,200.40.1,topk,3,9446.988235491395,-0.162844090688393,72.6570923539519
200,200.40.1,rank,1,9413.454386908732,-0.5172347161163768,77.86615008591065
200,200.40.1,rank,2,9460.774522166594,-0.017148593044888593,43.491501030927836
200,200.40.1,rank,3,9445.407173217693,-0.17955298846482484,91.14745850515465
200,200.40.1,pullcount,1,9400.92397155226,-0.6496579816448178,98.56922869415807
200,200.40.1,pullcount,2,9395.132717053097,-0.7108608077657697,98.56977027491409
200,200.40.1,pullcount,3,9445.247564358113,-0.1812397582798337,82.03275008591065
500,500.10.2,random,1,1752.3700463088503,-0.8132766925749919,83.72467106598985
500,500.10.2,random,2,1760.293014404172,-0.3648250393984646,83.33390677423253
500,500.10.2,random,3,1759.7803719756555,-0.3938413552274294,42.31812093304327
500,500.10.2,topk,1,1761.4294770754177,-0.3004995798532633,58.07371495044718
500,500.10.2,topk,2,1742.7278756481542,-1.35903774083071,96.3544060792845
500,500.10.2,topk,3,1753.2579090804115,-0.7630223531771555,97.52651453347836
500,500.10.2,rank,1,1750.8634157394308,-0.8985541998744866,82.81276734348562
500,500.10.2,rank,2,1761.401161469813,-0.3021022847981016,98.17743678994441
500,500.10.2,rank,3,1758.2548489477065,-0.4801882034807443,87.89108728547257
500,500.10.2,pullcount,1,1761.5569202233228,-0.2932861101438755,97.65682605148659
500,500.10.2,pullcount,2,1752.6857540902768,-0.7954071675689546,65.49525681049069
500,500.10.2,pullcount,3,1751.9616252424541,-0.8363939259418189,98.30798235436306
500,500.40.1,random,1,14102.303088721848,-0.2812741288061853,96.7457528462654
500,500.40.1,random,2,14098.888323545703,-0.3054202580144581,88.28192005076143
500,500.40.1,random,3,14251.348817210837,0.772642387379891,97.52679073604061
500,500.40.1,topk,1,14060.853890878778,-0.5743653474029236,99.08915762025623
500,500.40.1,topk,2,14118.791318471613,-0.16468428868050214,65.88619457336235
500,500.40.1,topk,3,14157.61082493039,0.10981213212850306,96.6153716038192
500,500.40.1,rank,1,14050.363222876498,-0.6485458582133626,97.52666642494562
500,500.40.1,rank,2,14117.034226363736,-0.17710885402514662,82.55282263113367
500,500.40.1,rank,3,14224.65452696288,0.5838845231633059,67.18836051486585
500,500.40.1,pullcount,1,14114.185925599902,-0.19724945951919218,90.625936699299
500,500.40.1,pullcount,2,14058.629440213608,-0.5900946495387879,96.8760312364032
500,500.40.1,pullcount,3,14136.37403668449,-0.040355216577193626,97.65737709088711
