pull_strategy,avg_rpd_pct,avg_median_etb_pct
random,-0.29532206200309524,86.9803141963616
topk,-0.4097838922082476,83.39910445084465
rank,-0.33569931341637316,85.54778488894537
pullcount,-0.3540175904780751,93.36042089413739
