n,instance,tolerance,bks,runs,expected_runs,final_rpd_pct,irpd_pct,ar_pct
200,200.10.2,0.5,1461.9667427714203,10,3,-0.5500534259376996,1.834911925806248,35.273368606701936
200,200.10.2,1,1461.9667427714203,10,3,-0.6363971641951388,1.7732184090358718,39.436619718309856
200,200.10.2,2,1461.9667427714203,10,3,-0.5593049854032279,1.8377407782821173,50.70175438596492
200,200.40.1,0.5,9462.397190153024,10,3,-0.47908727458153344,3.1080350484364168,41.806722689075634
200,200.40.1,1,9462.397190153024,10,3,-0.5745969007365592,3.1086459633694714,54.700854700854705
200,200.40.1,2,9462.397190153024,10,3,-0.5970513462808071,3.0922546159257354,67.84968684759917
500,500.10.2,0.5,1766.7385189018235,10,3,-0.9685536586584933,0.763765090685884,36.876640419947506
500,500.10.2,1,1766.7385189018235,10,3,-1.1079230057821423,0.729205407235449,43.81443298969072
500,500.10.2,2,1766.7385189018235,10,3,-1.0577379788761379,0.7321919095725233,53.96419437340153
500,500.40.1,0.5,14142.08110414259,6,3,-0.3937252961838176,5.092459881226949,50.0
500,500.40.1,1,14142.08110414259,0,3,,,
500,500.40.1,2,14142.08110414259,0,3,,,
