instance,run,rpd_ims,rpd_coop,winner
200.10.2,1,0.06471774953841995,1.3161621022232803,IMS win
200.10.2,2,0.04677495980165627,0.6371595822635954,IMS win
200.10.2,3,-0.22100851306082694,0.07027157945051479,IMS win
200.10.2,4,0.1321724803994456,0.3212105961683656,IMS win
200.10.2,5,0.4865655596136188,0.5453253578953162,IMS win
200.40.1,1,0.08186870805550714,0.05867544708334035,COOP win
200.40.1,2,-0.37793659540016455,-0.3805581572602506,COOP win
200.40.1,3,-0.16302668548572744,-0.3473308713408077,COOP win
200.40.1,4,0.8445221670579419,-0.47653965764265593,COOP win
200.40.1,5,-0.5777885141155188,0.0191941580615281,IMS win
500.10.2,1,-0.5483935493231743,-0.5882647933655772,COOP win
500.10.2,2,1.0125309749873201,-0.2763344400640733,COOP win
500.10.2,3,-0.07786466146508482,-0.9588967031434777,COOP win
500.10.2,4,1.0824784970078856,-0.4428860042335335,COOP win
500.10.2,5,-0.5058643352050816,-0.5778597121067132,COOP win
500.40.1,1,1.4422924198726728,0.2039236930611323,COOP win
500.40.1,2,1.4616899558203886,0.15637637491859196,COOP win
500.40.1,3,0.6558362022968612,0.5897686426896334,COOP win
500.40.1,4,1.283107414270378,-0.030383352066826477,COOP win
500.40.1,5,2.0625962015117407,-0.2688991633904832,COOP win
