n,instance,bks,runs,expected_runs,avg_result,avg_rpd_pct
200,200.10.2,1461.9667427714203,5,10,1470.4172883694794,0.5780258436002145
200,200.40.1,9462.397190153024,5,10,9441.077291185962,-0.22531181621976532
500,500.10.2,1766.7385189018235,5,10,1756.6884563312894,-0.5688483305826698
500,500.40.1,14142.08110414259,5,10,14160.48804645088,0.13015723904241475
1000,1000.10.2,1761.739356115498,0,10,,
1000,1000.40.1,14005.029948749481,0,10,,
