n,avg_rpd_sats_pct,avg_cv_sats_pct,avg_rpd_ims_pct,avg_cv_ims_pct,avg_delta_rpd_pct,ims_wins
100,0.09180060003965262,0.21161020997982413,-0.15656689381759437,0.15035154414824034,0.248367493857247,3/4
200,0.5905984226394699,0.9915211357201139,-0.25519636463792733,0.42306079841941535,0.8457947872773973,4/4
500,0.3765826236385871,0.6558022880008993,-0.24745318327459032,0.3268474030759715,0.6240358069131774,4/4
1000,-0.1090503153971524,0.7983313092747744,-0.48140163816475967,0.2530661727416538,0.834953466714763,2/4
overall,0.23748283273013931,0.664316235743903,-0.28515451997371793,0.2883314795963203,0.6382878886906462,13/16
