n,instance,runs,avg_result,bks,avg_rpd_pct,std_dev,cv_pct
200,200.10.1,10,1439.6643545767818,1443.743843767042,-0.28256322670204925,2.9805273466109488,0.20702932160094598
200,200.10.2,10,1452.5989989555271,1461.9667427714203,-0.6407631269460292,8.914710604996086,0.6137076103870439
200,200.10.3,10,1431.123999506944,1449.530538607773,-1.269827617326904,4.231439749192688,0.29567247496726484
200,200.10.4,10,1492.2562716107545,1500.3001822115361,-0.5361534109077009,4.469287445431859,0.29949865384768465
200,200.20.1,10,3144.41022274213,3149.9828987387964,-0.17691130954703557,8.179705796883308,0.26013481757956103
200,200.20.2,10,3112.1564627071643,3107.525723581689,0.14901692012827836,9.76245525770593,0.3136878037685126
200,200.20.3,10,3083.2606354620657,3083.2606354620657,0.0,0.0,0.0
200,200.20.4,10,3076.5199443179104,3081.8792269655264,-0.17389658234248526,0.0,0.0
200,200.30.1,10,5306.906712076643,5652.840716681177,-6.119648897654309,247.88669776080968,4.671020449572012
200,200.30.2,10,5033.338097263001,5249.198950289426,-4.112262748481321,46.72984656543076,0.9284066689428482
200,200.30.3,10,6253.23608010133,6426.2400691029425,-2.6921494861887796,47.29839259465711,0.7563826471411689
200,200.30.4,10,5957.570072052499,6185.35831371928,-3.6827008252948055,193.02111257174408,3.239930210426288
200,200.40.1,10,9409.546808573094,9462.397190153024,-0.5585305765322213,34.237999053668325,0.3638644851893811
200,200.40.2,10,9438.408010071533,9507.795576638211,-0.7297965759504951,33.41382295968841,0.3540196919229726
200,200.40.3,10,9317.667679313448,9405.787255113217,-0.9368655000341887,15.771144190015455,0.1692606426072658
200,200.40.4,10,9266.177014460945,9335.570526764048,-0.7433237433551476,22.851191798917473,0.24660862579309173
