n,instance,bks,runs,avg_result,avg_rpd_pct,std_dev,cv_pct
6,6.10.1,1078.7476708790684,10,1078.7476708790684,0.0,0.0,0.0
6,6.10.2,1232.5642370084722,10,1232.5642370084722,0.0,0.0,0.0
6,6.10.3,1230.0423116063364,10,1230.0423116063364,0.0,0.0,0.0
6,6.10.4,997.8432105109541,10,997.8432105109541,0.0,0.0,0.0
6,6.20.1,4486.681346181809,10,4486.681346181809,0.0,0.0,0.0
6,6.20.2,4099.787885636016,10,4099.787885636016,0.0,0.0,0.0
6,6.20.3,6233.214544913807,10,6233.214544913807,0.0,0.0,0.0
6,6.20.4,6174.786067461169,10,6174.786067461169,0.0,0.0,0.0
6,6.5.1,699.6656534991815,10,699.6656534991815,0.0,0.0,0.0
6,6.5.2,550.7224677595595,10,550.7224677595595,0.0,0.0,0.0
6,6.5.3,766.7833863800394,10,766.7833863800394,0.0,0.0,0.0
6,6.5.4,579.9713227928262,10,579.9713227928262,0.0,0.0,0.0
