n,avg_rpd_pct,avg_cv_pct,n_instances
6,0.0,0.0,12
10,-3.420145553246117e-15,0.0,12
12,-6.586166316792466e-15,1.1284074414277045e-15,12
20,0.1650707688548422,0.29291769690767466,12
50,0.00025628444949248096,0.2446011779185011,16
100,-0.12984238512069907,0.1616577731141718,16
200,-0.620370459115828,0.636520176184672,16
overall,-0.08355511299031462,0.19081383201786012,96
