n,instance,push_strategy,bks,runs,expected_runs,push_rate_per_million_evals,reduction_pct,accept_pct,R0,R1,R2,R3,R4,R5,R6,R7,R8,irpd_pct
200,200.10.2,new-best,1461.9667427714203,3,3,3.7050034044651436,0.0,82.42386767661152,27.7971400326946,2.437129212365958,1.212176314032015,0.768933192007627,0.27758607424831466,-0.2823136868024926,-0.342370453143338,-0.342370453143338,-0.342370453143338,2.182019373667547
200,200.10.2,segment-best,1461.9667427714203,3,3,0.03636848294690626,99.01839542433142,96.8503937007874,238.23126227935987,2.547495602949332,1.771350739362415,0.9393985510675422,0.34638040172199924,-0.2823136868024926,-0.342370453143338,-0.342370453143338,-0.342370453143338,15.44775207689005
200,200.10.2,significant-best,1461.9667427714203,3,3,2.0065666142438756,45.84170660071108,83.10261167404025,28.273401459756105,2.4529580985956767,1.3147456735280487,0.8268672189098224,0.28894129881467023,-0.2700459825457978,-0.33178989226811284,-0.33178989226811284,-0.342370453143338,2.239425253259072
200,200.40.1,new-best,9462.397190153024,3,3,4.437219198765874,0.0,81.15521135850274,52.55607322028422,0.608330995917307,0.3114442498432331,0.12549599577277837,0.020770407864721938,-0.164457450573689,-0.18417630167733515,-0.18417630167733515,-0.3072757202237616,3.3322037931874884
200,200.40.1,segment-best,9462.397190153024,3,3,0.030641010278667214,99.30945466279447,97.19626168224299,151.1996163744487,0.9550879207101636,0.3114442498432331,0.3073405924808062,0.027227003862338672,-0.164457450573689,-0.164457450573689,-0.18417630167733515,-0.3072757202237616,9.566772361398037
200,200.40.1,significant-best,9462.397190153024,3,3,2.0850205218595885,53.010648596321396,81.38991896717484,55.39127885775814,0.6599272613367638,0.3429937314204957,0.14906715938862716,0.062374892299666806,-0.12285296613874412,-0.15247909395120648,-0.15247909395120648,-0.3072757202237616,3.541069182396448
500,500.10.2,new-best,1766.7385189018235,3,3,0.5303531934351915,0.0,100.0,13.172518340039888,1.9907367151087436,0.9640893289764304,0.3248523025978562,-0.057249610413957576,-0.24853254889735132,-0.43617244029758584,-0.746423266485197,-0.746423266485197,1.0005435021707854
500,500.10.2,segment-best,1766.7385189018235,3,3,0.004471814688845475,99.15682327471609,100.0,91.54259785920772,2.4777556065698967,1.1576618600629673,0.5683862557366817,0.07157364768061661,-0.17559766152831022,-0.3737676876411565,-0.746423266485197,-0.746423266485197,6.047209506344595
500,500.10.2,significant-best,1766.7385189018235,3,3,0.13679321419797125,74.20714801169814,100.0,13.239093940124432,1.8470104673162833,0.9711932966241473,0.3702355162542335,0.000464069752133744,-0.19437233644994778,-0.403905125049754,-0.7142288800105882,-0.746423266485197,1.0153415431570156
500,500.40.1,new-best,14142.08110414259,3,3,1.245477145707794,0.0,100.0,75.6431128969527,2.376785036392013,1.139343119385187,0.7298708030486838,0.4695560208729256,0.34255010487287196,0.1523809327455089,-0.01630918754764445,-0.04075968226508215,5.37441917963917
500,500.40.1,segment-best,14142.08110414259,3,3,0.0036660710730672076,99.70564926978376,100.0,164.54066705450893,2.7447834646376337,1.2580858341640415,0.7298708030486838,0.4695560208729256,0.4695560208729256,0.1523809327455089,-0.01630918754764445,-0.04075968226508215,11.0072346968645
500,500.40.1,significant-best,14142.08110414259,3,3,0.254328644882124,79.57982241917485,99.99207983526055,75.61511022637596,2.414606199172659,1.0708052735288285,0.784298961737632,0.524570724397926,0.3827135315892301,0.20661576145622967,0.029092705960343954,-0.04075968226508215,5.399984803737286
1000,1000.10.2,new-best,1761.739356115498,0,3,,,,,,,,,,,,,
1000,1000.10.2,segment-best,1761.739356115498,0,3,,,,,,,,,,,,,
1000,1000.10.2,significant-best,1761.739356115498,0,3,,,,,,,,,,,,,
1000,1000.40.1,new-best,14005.029948749481,0,3,,,,,,,,,,,,,
1000,1000.40.1,segment-best,14005.029948749481,0,3,,,,,,,,,,,,,
1000,1000.40.1,significant-best,14005.029948749481,0,3,,,,,,,,,,,,,
