n,instance,segments,bks,runs,expected_runs,final_rpd_pct,irpd_pct,pull_request_rate_per_million_evals
200,200.10.2,2,1461.9667427714203,10,3,-0.23982774496481415,1.9483685157824593,0.11082321796653528
200,200.10.2,4,1461.9667427714203,10,3,-0.6278696955419174,1.797262970682406,0.04862472731628999
200,200.10.2,8,1461.9667427714203,10,3,-0.45587136022487085,1.968888730921551,0.01924374822956058
200,200.40.1,2,9462.397190153024,10,3,-0.43016020077841416,3.15267989107923,0.0908920983389327
200,200.40.1,4,9462.397190153024,10,3,-0.45968226107503185,3.1117054546243885,0.040806838763142936
200,200.40.1,8,9462.397190153024,10,3,-0.3882206652236028,3.274799210297535,0.01606501389310599
500,500.10.2,2,1766.7385189018235,10,3,-1.0051030178711626,0.7980221183283565,0.010841137148276017
500,500.10.2,4,1766.7385189018235,10,3,-1.092540609535169,0.6526106979670541,0.004695407620709208
500,500.10.2,8,1766.7385189018235,10,3,-0.9012287581586134,0.8828338875431126,0.0017826830195324123
500,500.40.1,2,14142.08110414259,10,3,-0.4957738073228729,4.877122711057451,0.0068890024994835005
500,500.40.1,4,14142.08110414259,10,3,-0.42045020489684487,4.971437985602562,0.002834159938303867
500,500.40.1,8,14142.08110414259,10,3,-0.45528717921720646,4.958375126250922,0.0009427048828340542
