worker,seg_2_avg_pull_request_count,seg_4_avg_pull_request_count,seg_8_avg_pull_request_count
1,22.816666666666666,9.916666666666666,3.3833333333333333
2,23.15,9.95,3.916666666666667
3,22.75,10.333333333333332,3.9166666666666665
4,22.833333333333332,9.8,3.683333333333333
5,22.983333333333334,9.883333333333333,3.9166666666666665
6,22.71666666666667,9.816666666666666,3.416666666666667
Total,137.25,59.7,22.233333333333334
