pool_set,strategy,final_rpd_pct,irpd_pct,ar_pct,er_pct,pool_diversity
po1,quality-only,-0.6010508891094258,2.655255850540191,58.980482471861784,82.18663003663004,0.033000382454504915
po1,td-crowding,-0.589241371833313,2.7030799423640732,53.38864233892791,82.36639016351714,0.5323301643923785
po1,edge-crowding,-0.600844661576755,2.680463440299061,53.66632474149619,78.58344016166178,0.5237937306103693
po1,random-target,-0.5432161235039031,2.6625646006182295,57.7826080821079,81.6023429135853,0.09118902290254675
po2,quality-only,-0.5455911253896918,2.6661217155573405,65.95004807003247,78.92528009257148,0.0800975970435971
po2,td-crowding,-0.5456124684037149,2.688495066166339,51.32853906171219,75.9338480215136,0.5337956482770383
po2,edge-crowding,-0.520048172494207,2.6947506278110227,52.180257994255214,71.3563342411356,0.5300907389766447
po2,random-target,-0.5961792064056998,2.66698745624966,62.09995903376104,81.24733316335828,0.07979035946254956
po3,quality-only,-0.507485312510597,2.6601704143296807,62.49912014053419,75.93417038779526,0.07227428465040911
po3,td-crowding,-0.5418594623399532,2.6884387418559674,49.979850560785934,73.11244437845596,0.538657767150322
po3,edge-crowding,-0.629471713817551,2.6638024234335314,51.45283095721692,72.70240052796532,0.5297085623982523
po3,random-target,-0.5181567067147259,2.6756961541601783,57.44352029495903,77.55385061514558,0.10369902858392283
