n,instance,pool_set,pool_size,strategy,run,final_cost,final_rpd_pct,pull_accept_count,pull_offer_count,ar_pct,pull_round_improved_count,er_pct,pool_diversity
200,200.40.1,po1,2,random-target,8,9414.91691939126,-0.5017784585408619,29,45,64.44444444444444,21,72.41379310344827,0.19423600008565756
200,200.40.1,po1,2,random-target,9,9336.584392887511,-1.329608076444298,31,44,70.45454545454545,28,90.32258064516128,0.0
200,200.40.1,po1,2,random-target,10,9451.556609263975,-0.11456484727073685,28,50,56.00000000000001,27,96.42857142857143,0.0
200,200.40.1,po2,3,quality-only,1,9420.753282369566,-0.44009891940273704,19,54,35.18518518518518,17,89.47368421052632,0.0
200,200.40.1,po2,3,quality-only,2,9394.831294952386,-0.7140462806924852,35,51,68.62745098039215,24,68.57142857142857,0.09648476046776595
200,200.40.1,po2,3,quality-only,3,9419.981275176218,-0.44825760454174834,36,50,72.0,31,86.11111111111111,0.0
200,200.40.1,po2,3,quality-only,4,9401.911116496905,-0.6392256892266476,37,46,80.43478260869566,34,91.8918918918919,0.0682730536882928
200,200.40.1,po2,3,quality-only,5,9380.179265164785,-0.8688910784024025,39,48,81.25,37,94.87179487179486,0.009916955886739118
200,200.40.1,po2,3,quality-only,6,9448.514905432477,-0.14671001905302627,37,49,75.51020408163265,24,64.86486486486487,0.3392201000305823
200,200.40.1,po2,3,quality-only,7,9414.764458479873,-0.5033896877920105,32,42,76.19047619047619,28,87.5,0.18168302509490655
200,200.40.1,po2,3,quality-only,8,9351.009399320988,-1.1771624948057606,25,45,55.55555555555556,22,88.0,0.011542110559789473
200,200.40.1,po2,3,quality-only,9,9349.760749453297,-1.190358409568154,37,44,84.0909090909091,37,100.0,0.206289621094663
200,200.40.1,po2,3,quality-only,10,9407.723643261412,-0.5777980546885925,41,53,77.35849056603774,37,90.2439024390244,0.021368038197941197
200,200.40.1,po2,3,td-crowding,1,9420.350808064477,-0.44435232683217213,29,52,55.769230769230774,23,79.3103448275862,0.5124061363681375
200,200.40.1,po2,3,td-crowding,2,9412.008775988941,-0.5325121441374201,42,51,82.35294117647058,16,38.095238095238095,0.49508129368724685
200,200.40.1,po2,3,td-crowding,3,9449.656741184495,-0.1346429315162009,16,51,31.372549019607842,12,75.0,0.5259421857937882
200,200.40.1,po2,3,td-crowding,4,9418.718085088696,-0.4616071824778415,24,44,54.54545454545454,19,79.16666666666666,0.5212879840740937
200,200.40.1,po2,3,td-crowding,5,9427.415575866242,-0.3696908255255391,19,47,40.42553191489361,14,73.68421052631578,0.5307243642629106
200,200.40.1,po2,3,td-crowding,6,9405.621963925834,-0.6000089098592526,35,47,74.46808510638297,20,57.14285714285714,0.4981226940365233
200,200.40.1,po2,3,td-crowding,7,9393.8795787343,-0.7241041571371126,32,43,74.4186046511628,13,40.625,0.4998183046435443
200,200.40.1,po2,3,td-crowding,8,9447.452262146417,-0.15794018900580184,23,46,50.0,12,52.17391304347826,0.5068855053250377
200,200.40.1,po2,3,td-crowding,9,9367.817944210048,-0.999527329516447,25,47,53.191489361702125,18,72.0,0.5455824969913903
200,200.40.1,po2,3,td-crowding,10,9445.407173217693,-0.17955298846482484,32,49,65.3061224489796,22,68.75,0.5110190852309587
200,200.40.1,po2,3,edge-crowding,1,9347.66645791594,-1.2124911894047012,33,51,64.70588235294117,24,72.72727272727273,0.5255290904601412
200,200.40.1,po2,3,edge-crowding,2,9385.762151889849,-0.8098903134495884,20,50,40.0,14,70.0,0.4535429403536193
200,200.40.1,po2,3,edge-crowding,3,9449.656741184495,-0.1346429315162009,16,51,31.372549019607842,12,75.0,0.5259421857937882
200,200.40.1,po2,3,edge-crowding,4,9458.027951498143,-0.04617475431519394,28,45,62.22222222222222,19,67.85714285714286,0.5117538508286336
200,200.40.1,po2,3,edge-crowding,5,9391.874546357743,-0.74529363308348,24,47,51.06382978723404,17,70.83333333333334,0.5449720420222334
200,200.40.1,po2,3,edge-crowding,6,9440.55442893538,-0.2308375010972304,35,46,76.08695652173914,21,60.0,0.5143233889999442
200,200.40.1,po2,3,edge-crowding,7,9397.430679156365,-0.6865756075454748,38,45,84.44444444444444,18,47.368421052631575,0.5196196542261288
200,200.40.1,po2,3,edge-crowding,8,9447.452262146417,-0.15794018900580184,23,46,50.0,12,52.17391304347826,0.521330002753696
200,200.40.1,po2,3,edge-crowding,9,9364.559810958803,-1.0339597591193386,23,46,50.0,17,73.91304347826086,0.5392007905170961
200,200.40.1,po2,3,edge-crowding,10,9412.637946062952,-0.5258629826050133,41,50,82.0,31,75.60975609756098,0.4448864837338586
200,200.40.1,po2,3,random-target,1,9422.192781530906,-0.42488608134053024,29,53,54.71698113207547,24,82.75862068965517,0.0
200,200.40.1,po2,3,random-target,2,9401.268252443604,-0.6460195707387268,23,51,45.09803921568628,21,91.30434782608695,0.0
200,200.40.1,po2,3,random-target,3,9414.457218295176,-0.5066366470827954,32,50,64.0,29,90.625,0.005022894064546085
200,200.40.1,po2,3,random-target,4,9415.994321841781,-0.49039231157546065,23,47,48.93617021276596,16,69.56521739130434,0.0
200,200.40.1,po2,3,random-target,5,9405.925739874365,-0.5967985611238745,20,47,42.5531914893617,19,95.0,0.0
200,200.40.1,po2,3,random-target,6,9447.34275839039,-0.15909744074471846,31,49,63.26530612244898,25,80.64516129032258,0.010165752604194746
200,200.40.1,po2,3,random-target,7,9406.211571880056,-0.5937778466056904,29,46,63.04347826086957,27,93.10344827586206,0.018941872322292937
200,200.40.1,po2,3,random-target,8,9447.452262146417,-0.15794018900580184,22,47,46.808510638297875,15,68.18181818181817,0.0
200,200.40.1,po2,3,random-target,9,9366.752997995904,-1.010781837150652,34,42,80.95238095238095,29,85.29411764705883,0.2170745883559392
200,200.40.1,po2,3,random-target,10,9430.062008083574,-0.3417229420796149,29,49,59.183673469387756,23,79.3103448275862,0.08944503320512188
200,200.40.1,po3,4,quality-only,1,9420.350808064477,-0.44435232683217213,28,53,52.83018867924528,15,53.57142857142857,0.11098394352364534
200,200.40.1,po3,4,quality-only,2,9435.1775497475,-0.28766114821147826,11,52,21.153846153846153,11,100.0,0.008366565016811335
