pool_set,strategy,mean_pool_rpd_pct,pool_diversity,replacement_rate_per_million_evals
po1,quality-only,-0.5988207665695006,0.033000382454504915,0.21023705663396333
po1,td-crowding,0.4477777890611528,0.5323301643923785,0.3756836454981334
po1,edge-crowding,0.3598610005471743,0.5237937306103693,0.3772221393122209
po1,random-target,-0.5358386391269941,0.09118902290254675,0.20540121796792352
po2,quality-only,-0.5395857993033149,0.0800975970435971,0.22535520635974998
po2,td-crowding,0.8441114837426321,0.5337956482770383,0.5521337071086574
po2,edge-crowding,0.7503213245576535,0.5300907389766447,0.554527493872113
po2,random-target,-0.5800403526541051,0.07979035946254956,0.22340093002925235
po3,quality-only,-0.4985190715131727,0.07227428465040911,0.23988259991428795
po3,td-crowding,1.1618752912997583,0.538657767150322,0.7340161707680164
po3,edge-crowding,1.0451117996504284,0.5297085623982523,0.7367819236816658
po3,random-target,-0.5026480525593446,0.09820131350935592,0.2988847413727529
