n,instance,pool_set,pool_size,strategy,bks,runs,expected_runs,final_rpd_pct,irpd_pct,ar_pct,er_pct,mean_pool_rpd_pct,pool_diversity,replacement_rate_per_million_evals
200,200.10.2,po1,2,quality-only,1461.9667427714203,10,3,-0.45344724497112365,1.8602140615595038,51.724137931034484,81.66666666666667,-0.4534472449711221,0.04431706375502818,0.3852178991709835
200,200.10.2,po1,2,td-crowding,1461.9667427714203,10,3,-0.6096724376761151,1.8526934412613056,46.58493870402802,88.34586466165413,0.4951990902197091,0.5461550191917781,0.6490457083434439
200,200.10.2,po1,2,edge-crowding,1461.9667427714203,10,3,-0.5290696905768262,1.8212603549723738,46.49122807017544,81.50943396226415,0.3700948098144311,0.5258090535655264,0.6507650014004502
200,200.10.2,po2,3,quality-only,1461.9667427714203,10,3,-0.3622776085876515,1.847278757890918,61.88811188811189,72.59887005649718,-0.35786320619746725,0.0546921959990508,0.40867117395061636
200,200.10.2,po2,3,td-crowding,1461.9667427714203,10,3,-0.31293382187380947,1.864056187496272,40.909090909090914,85.47008547008546,1.0989260776780527,0.5538101252660178,0.9615850016475439
200,200.10.2,po2,3,edge-crowding,1461.9667427714203,10,3,-0.39234116196022084,1.8756541056564588,42.13286713286713,77.59336099585063,0.9985710866794186,0.5461723284092276,0.9623598401178499
200,200.10.2,po3,4,quality-only,1461.9667427714203,10,3,-0.3079817150195422,1.864533042842502,60.9375,73.21937321937322,-0.30191054853869026,0.06951766703865013,0.44251923074625465
200,200.10.2,po3,4,td-crowding,1461.9667427714203,10,3,-0.29535917423677366,1.9418581102387709,44.97354497354497,80.0,1.4081279345656295,0.5590626993163923,1.2858083615178726
200,200.10.2,po3,4,edge-crowding,1461.9667427714203,10,3,-0.6372772669856602,1.8336629483218865,44.26807760141093,79.2828685258964,1.2953626209401599,0.550494462253669,1.2794502630670554
200,200.40.1,po1,2,quality-only,9462.397190153024,10,3,-0.48474529417033274,3.099412797348256,51.975051975051976,85.6,-0.48474529417033274,0.0,0.38272501330042374
200,200.40.1,po1,2,td-crowding,9462.397190153024,10,3,-0.4986321438072105,3.151779489486528,55.88865096359743,81.22605363984674,-0.05129453827955513,0.5286082385426211,0.6712933836084827
200,200.40.1,po1,2,edge-crowding,9462.397190153024,10,3,-0.5501843434110111,3.07806510305351,50.317124735729394,81.09243697478992,-0.12051443999515635,0.5195568003561983,0.6746463083128341
200,200.40.1,po2,3,quality-only,9462.397190153024,10,3,-0.6705938238173564,3.0620861403763673,70.12448132780082,86.09467455621301,-0.6698261740321589,0.09347776650206804,0.41597346079721537
200,200.40.1,po2,3,td-crowding,9462.397190153024,10,3,-0.46039389844726125,3.1440972735545643,58.07127882599581,61.01083032490975,0.17188964255312647,0.5146870050413631,1.0017012855504206
200,200.40.1,po2,3,edge-crowding,9462.397190153024,10,3,-0.5583668861142024,3.08378449730002,58.909853249475894,65.83629893238434,0.07512662406471317,0.5101100429689139,1.0085739228346131
200,200.40.1,po3,4,quality-only,9462.397190153024,10,3,-0.4720027620408538,3.070651666300999,55.50935550935551,70.78651685393258,-0.4638071478703834,0.09267212369613333,0.435388563377302
200,200.40.1,po3,4,td-crowding,9462.397190153024,10,3,-0.4533826005049713,3.143333293404588,58.7737843551797,64.38848920863309,0.5324239451567074,0.5185769598454704,1.3388975497773963
200,200.40.1,po3,4,edge-crowding,9462.397190153024,10,3,-0.5075772322601594,3.1246614302078672,63.63636363636363,62.12624584717608,0.4489958836052728,0.5061817868732749,1.3567658971502612
500,500.10.2,po1,3,quality-only,1766.7385189018235,10,3,-1.002308800161953,0.8011126089112152,64.65517241379311,78.0952380952381,-0.9976398403670854,0.033392489211801504,0.026395803214535746
500,500.10.2,po1,3,td-crowding,1766.7385189018235,10,3,-0.947085883150865,0.7866378173712154,48.740554156171285,81.3953488372093,0.649564971955819,0.5500202900798886,0.060194274813354674
500,500.10.2,po1,3,edge-crowding,1766.7385189018235,10,3,-1.014550140800962,0.8063891921663144,52.398523985239855,77.46478873239437,0.477478351295587,0.5437950058962757,0.0608166695319079
500,500.10.2,po2,4,quality-only,1766.7385189018235,10,3,-0.5576904763956262,0.9520618743827585,60.14580801944107,75.75757575757575,-0.547258176251818,0.09420342121469256,0.027562116533876923
500,500.10.2,po2,4,td-crowding,1766.7385189018235,10,3,-0.986504158269525,0.7686109205715402,48.91443167305236,84.59530026109661,0.9807390297431249,0.5515622208092299,0.08203366187590952
500,500.10.2,po2,4,edge-crowding,1766.7385189018235,10,3,-0.8719509317331957,0.8044001707542789,48.94146948941469,73.53689567430025,0.9120375459926444,0.5524426255861935,0.08333893583695912
500,500.10.2,po3,5,quality-only,1766.7385189018235,10,3,-0.8230929699454824,0.798527528764005,61.933904528763776,75.8893280632411,-0.8121840522094247,0.04584965348067726,0.030468794065879996
500,500.10.2,po3,5,td-crowding,1766.7385189018235,10,3,-1.0204650437633094,0.680097913811501,44.5997458703939,76.92307692307693,1.290631098152082,0.5622591522067464,0.10415708948066102
500,500.10.2,po3,5,edge-crowding,1766.7385189018235,10,3,-1.0583873566916133,0.7032256211893926,46.53846153846154,76.85950413223141,1.1824986054927642,0.5536992148874709,0.10443500621698827
500,500.40.1,po1,3,quality-only,14142.08110414259,10,3,-0.4637022171342942,4.86028393434179,67.56756756756756,83.38461538461537,-0.45945068676946194,0.05429197685118996,0.04660951084991035
500,500.40.1,po1,3,td-crowding,14142.08110414259,10,3,-0.3015750226990617,5.021209021337244,62.34042553191489,78.49829351535837,0.6976416323486382,0.504537109755226,0.12220121522725236
