n,instance,bks,runs,avg_result,avg_rpd_pct,std_dev,cv_pct
20,20.10.1,1190.6920375792722,10,1190.6920375792722,0.0,0.0,0.0
20,20.10.2,1254.6043475032363,10,1254.6043475032363,0.0,7.190186943645084e-14,5.731039397363906e-15
20,20.10.3,1206.1754607013595,10,1206.1754607013595,0.0,0.0,0.0
20,20.10.4,1325.8547556895428,10,1325.8547556895428,0.0,0.0,0.0
20,20.20.1,4375.996152509832,10,4375.996152509832,0.0,0.0,0.0
20,20.20.2,4041.311867006855,10,4041.311867006855,0.0,0.0,0.0
20,20.20.3,5069.655033539804,10,5170.077256045633,1.9808492262581066,181.72885472107612,3.51501236289209
20,20.20.4,4371.301453971331,10,4371.301453971331,0.0,0.0,0.0
20,20.5.1,626.0038177239053,10,626.0038177239053,0.0,0.0,0.0
20,20.5.2,711.9602671858845,10,711.9602671858845,0.0,0.0,0.0
20,20.5.3,499.81231236662194,10,499.81231236662194,0.0,0.0,0.0
20,20.5.4,518.3642017631608,10,518.3642017631608,0.0,0.0,0.0
