n,instance,runs,avg_result,bks,avg_rpd_pct,std_dev,cv_pct
20,20.10.1,10,1190.6920375792722,1190.6920375792722,0.0,0.0,0.0
20,20.10.2,10,1254.6043475032363,1254.6043475032363,0.0,7.190186943645084e-14,5.731039397363906e-15
20,20.10.3,10,1206.1754607013595,1206.1754607013595,0.0,0.0,0.0
20,20.10.4,10,1325.8547556895428,1325.8547556895428,0.0,0.0,0.0
20,20.20.1,10,4375.996152509832,4375.996152509832,0.0,0.0,0.0
20,20.20.2,10,4041.311867006855,4041.311867006855,0.0,0.0,0.0
20,20.20.3,10,5113.287890857372,5069.655033539804,0.860667186009734,137.97920994465926,2.6984439931764443
20,20.20.4,10,4371.301453971331,4371.301453971331,0.0,0.0,0.0
20,20.5.1,10,626.0038177239053,626.0038177239053,0.0,0.0,0.0
20,20.5.2,10,711.9602671858845,711.9602671858845,0.0,0.0,0.0
20,20.5.3,10,499.81231236662194,499.81231236662194,0.0,0.0,0.0
20,20.5.4,10,518.3642017631608,518.3642017631608,0.0,0.0,0.0
