n,instance,bks,runs,avg_result,avg_rpd_pct,std_dev,cv_pct
10,10.10.1,1735.950029753597,10,1735.950029753597,0.0,0.0,0.0
10,10.10.2,2006.7277325718107,10,2006.7277325718107,0.0,0.0,0.0
10,10.10.3,1818.1502668036478,10,1818.1502668036474,-2.5011538330432994e-14,0.0,0.0
10,10.10.4,1359.633305210052,10,1359.633305210052,0.0,0.0,0.0
10,10.20.1,5738.066783105984,10,5738.066783105984,0.0,0.0,0.0
10,10.20.2,6973.407432305421,10,6973.407432305421,0.0,0.0,0.0
10,10.20.3,6468.868414029823,10,6468.868414029823,0.0,0.0,0.0
10,10.20.4,6469.04259277102,10,6469.04259277102,0.0,0.0,0.0
10,10.5.1,1212.9464832192677,10,1212.9464832192677,0.0,0.0,0.0
10,10.5.2,709.2037454135201,10,709.20374541352,-1.603020830852041e-14,0.0,0.0
10,10.5.3,775.6904789217117,10,775.6904789217117,0.0,0.0,0.0
10,10.5.4,745.4251979411413,10,745.4251979411413,0.0,0.0,0.0
