n,instance,run,working_time,bks,rpd_pct
200,200.10.2,1,1462.912894746342,1461.9667427714203,0.06471774953841995
200,200.10.2,2,1462.6505771276652,1461.9667427714203,0.04677495980165627
200,200.10.2,3,1458.7356718117774,1461.9667427714203,-0.22100851306082694
200,200.10.2,4,1463.8990604779563,1461.9667427714203,0.1321724803994456
200,200.10.2,5,1469.080169434751,1461.9667427714203,0.4865655596136188
200,200.40.1,1,9470.143932483683,9462.397190153024,0.08186870805550714
200,200.40.1,2,9426.635328369319,9462.397190153024,-0.37793659540016455
200,200.40.1,3,9446.970957646423,9462.397190153024,-0.16302668548572744
200,200.40.1,4,9542.309231958934,9462.397190153024,0.8445221670579419
200,200.40.1,5,9407.72454602833,9462.397190153024,-0.5777885141155188
500,500.10.2,1,1757.049838830758,1766.7385189018235,-0.5483935493231743
500,500.10.2,2,1784.6272936527366,1766.7385189018235,1.0125309749873201
500,500.10.2,3,1765.3628539351073,1766.7385189018235,-0.07786466146508482
500,500.10.2,4,1785.8630834672913,1766.7385189018235,1.0824784970078856
500,500.10.2,5,1757.8012188383686,1766.7385189018235,-0.5058643352050816
500,500.40.1,1,14346.051267919884,14142.08110414259,1.4422924198726728
500,500.40.1,2,14348.794483185815,14142.08110414259,1.4616899558203886
500,500.40.1,3,14234.82999178174,14142.08110414259,0.6558362022968612
500,500.40.1,4,14323.539195321973,14142.08110414259,1.283107414270378
500,500.40.1,5,14433.775131811344,14142.08110414259,2.0625962015117407
1000,1000.10.2,1,1759.9792200926383,1761.739356115498,-0.09990899146060608
1000,1000.10.2,2,1779.9777519433921,1761.739356115498,1.035249383774256
1000,1000.10.2,3,1749.5769129477487,1761.739356115498,-0.6903656392490689
1000,1000.10.2,4,1762.4519732935737,1761.739356115498,0.040449637206666916
1000,1000.10.2,5,1761.9376271431508,1761.739356115498,0.011254277028249438
