n,instance,bks,runs,expected_runs,avg_result,avg_rpd_pct
200,200.10.2,1461.9667427714203,5,10,1463.4556747196984,0.10184444725846585
200,200.40.1,9462.397190153024,5,10,9458.756799297338,-0.03847218397758851
500,500.10.2,1766.7385189018235,5,10,1770.1408577448524,0.19257738520037296
500,500.40.1,14142.08110414259,5,10,14337.398014004151,1.3811044387544082
1000,1000.10.2,1761.739356115498,0,10,,
1000,1000.40.1,14005.029948749481,0,10,,
