n,instance,runs,avg_result,bks,avg_rpd_pct,std_dev,cv_pct
100,100.10.1,10,1552.5551418704415,1563.2556451543076,-0.6845011765692245,8.333190951582607,0.5367404175766145
100,100.10.2,10,1563.4424838843595,1579.871987611483,-1.0399262633906428,8.83978853344437,0.5654054194230408
100,100.10.3,10,1509.0889835504743,1516.067161387965,-0.460281576912602,6.914328689694576,0.4581789917667446
100,100.10.4,10,1564.6246350947345,1566.1742203960607,-0.09894079988970797,0.9995059178878987,0.06388151480354141
100,100.20.1,10,4302.3056571779625,4302.306833796588,-2.7348552085586093e-05,0.0,0.0
100,100.20.2,10,4055.993734698326,4055.993734698326,0.0,0.0,0.0
100,100.20.3,10,4196.026173564053,4196.026173564053,0.0,0.0,0.0
100,100.20.4,10,4300.6956331242545,4358.966956742628,-1.3368149884283274,39.791707202368364,0.9252388589392351
100,100.30.1,10,8804.118136127057,8802.906637815562,0.013762480523090797,15.242416505462723,0.1731282596370053
100,100.30.2,10,8589.107606567606,8596.156616642891,-0.08200188048735041,13.531022869444987,0.15753700488160816
100,100.30.3,10,8901.961476726596,8911.06827772304,-0.10219651238909322,1.8316107611398356,0.020575361575405852
100,100.30.4,10,8666.412361557766,8652.420055276289,0.16171552227108088,14.778582683094854,0.1705271116413671
100,100.40.1,10,14556.640246587629,14597.806171695585,-0.28200076520933004,30.36729522148762,0.20861472638651168
100,100.40.2,10,15143.397122856664,15140.897143470993,0.016511434969686906,12.292087316020766,0.08117126703008878
100,100.40.3,10,15154.376409159162,15196.663620913252,-0.2782664195836745,7.50760320050785,0.049540825684983816
100,100.40.4,10,14355.1437709727,14429.344805960223,-0.514237035605899,39.68082520207662,0.27642234613013467
