n,instance,push_strategy,bks,runs,expected_runs,push_rate_per_million_evals,reduction_pct,accept_pct,R0,R1,R2,R3,R4,R5,R6,R7,R8,irpd_pct
200,200.10.2,new-best,1461.9667427714203,3,3,3.7050034044651436,0.0,82.43159684649868,28.99578372932285,2.458927806122215,1.2705044180203735,0.768933192007627,0.34638040172199924,-0.2823136868024926,-0.342370453143338,-0.342370453143338,-0.342370453143338,2.2755497328591003
200,200.10.2,segment-best,1461.9667427714203,3,3,0.03636848294690626,99.01839542433142,96.8503937007874,238.23126227935987,2.547495602949332,1.771350739362415,0.9393985510675422,0.34638040172199924,-0.2823136868024926,-0.28489818234190484,-0.342370453143338,-0.342370453143338,15.454936110740228
200,200.10.2,significant-best,1461.9667427714203,3,3,2.0034165881618597,45.92672746946979,83.46197827329902,27.33416290233135,2.4913831210071415,1.434579567595038,0.8268672189098224,0.38700458603934446,-0.2700459825457978,-0.33178989226811284,-0.33178989226811284,-0.342370453143338,2.2127631188829158
200,200.40.1,new-best,9462.397190153024,3,3,4.437219198765874,0.0,81.0971281058406,54.40833333120476,0.608330995917307,0.3114442498432331,0.12549599577277837,0.020770407864721938,-0.164457450573689,-0.18417630167733515,-0.18417630167733515,-0.3072757202237616,3.447970050120022
200,200.40.1,segment-best,9462.397190153024,3,3,0.030641010278667214,99.30945466279447,99.06542056074767,151.1996163744487,0.9550879207101636,0.3114442498432331,0.3114442498432331,0.027227003862338672,-0.164457450573689,-0.164457450573689,-0.18417630167733515,-0.3072757202237616,9.56728531856834
200,200.40.1,significant-best,9462.397190153024,3,3,2.0804386885468906,53.11390771216522,81.45905024088094,53.286208112533885,0.6599272613367638,0.3429937314204957,0.14906715938862716,0.062374892299666806,-0.12285296613874412,-0.15247909395120648,-0.15247909395120648,-0.3072757202237616,3.409502260819932
500,500.10.2,new-best,1766.7385189018235,3,3,0.5303531934351915,0.0,100.0,13.18642366350575,1.7970339948180722,0.9640893289764304,0.3248523025978562,-0.057249610413957576,-0.24853254889735132,-0.43617244029758584,-0.746423266485197,-0.746423266485197,0.9771997448510679
500,500.10.2,segment-best,1766.7385189018235,3,3,0.004471814688845475,99.15682327471609,100.0,91.54259785920772,2.4777556065698967,1.1576618600629673,0.5683862557366817,0.07157364768061661,-0.17559766152831022,-0.3737676876411565,-0.746423266485197,-0.746423266485197,6.047209506344595
500,500.10.2,significant-best,1766.7385189018235,3,3,0.13679321419797125,74.20714801169814,99.98527462818437,13.347493679250228,1.8470104673162833,0.9711932966241473,0.3702355162542335,0.000464069752133744,-0.19437233644994778,-0.403905125049754,-0.7142288800105882,-0.746423266485197,1.022116526852378
500,500.40.1,new-best,14142.08110414259,3,3,1.245477145707794,0.0,100.0,75.40058294853186,2.376785036392013,1.139343119385187,0.7298708030486838,0.4695560208729256,0.34255010487287196,0.1523809327455089,-0.01630918754764445,-0.04075968226508215,5.359261057862867
500,500.40.1,segment-best,14142.08110414259,3,3,0.0036660710730672076,99.70564926978376,100.0,164.54066705450893,2.7447834646376337,1.2580858341640415,0.7298708030486838,0.4695560208729256,0.4695560208729256,0.1523809327455089,-0.01630918754764445,-0.04075968226508215,11.0072346968645
500,500.40.1,significant-best,14142.08110414259,3,3,0.254328644882124,79.57982241917485,99.99207983526055,75.81021276438268,2.414606199172659,1.1732623566809561,0.784298961737632,0.524570724397926,0.3827135315892301,0.20661576145622967,0.029092705960343954,-0.04075968226508215,5.424985847756723
1000,1000.10.2,new-best,1761.739356115498,2,3,0.2935914419885403,0.0,100.0,22.293055698673108,2.421473245336801,1.2301845648135132,-0.43206385504704004,-1.218640569328723,-1.2254226786076141,-1.2254226786076141,-1.3879255011740996,-1.5720781292523478,1.0653339140119504
1000,1000.10.2,segment-best,1761.739356115498,0,3,,,,,,,,,,,,,
1000,1000.10.2,significant-best,1761.739356115498,0,3,,,,,,,,,,,,,
1000,1000.40.1,new-best,14005.029948749481,0,3,,,,,,,,,,,,,
1000,1000.40.1,segment-best,14005.029948749481,0,3,,,,,,,,,,,,,
1000,1000.40.1,significant-best,14005.029948749481,0,3,,,,,,,,,,,,,
